EIM__GCF_000499425.1__NW_013550136.1__16263-16737__len235	XM_035525288.2	83.607	61	10	0	90	150	909	849	1.16e-05	42.1	XM_035525288.2 PREDICTED: Electrophorus electricus telomerase RNA component interacting RNase (trir), mRNA
EIM__GCF_000499425.1__NW_013547355.1__22185-22420__len147	XM_029508451.1	100.000	18	0	0	75	92	2298	2281	4.37e-04	36.2	XM_029508451.1 PREDICTED: Echeneis naucrates telomerase RNA component interacting RNase (trir), mRNA
EIM__GCF_000499605.1__NW_013566514.1__9333-9778__len123	XM_082214774.1	100.000	18	0	0	33	50	682	665	3.59e-04	36.2	XM_082214774.1 Podarcis vaucheri telomerase RNA component interacting RNase (TRIR), mRNA
EIM__GCF_000499605.1__NW_013566514.1__9333-9778__len123	XM_081900152.1	100.000	18	0	0	33	50	861	844	3.59e-04	36.2	XM_081900152.1 Podarcis melisellensis telomerase RNA component interacting RNase (TRIR), transcript variant 2, mRNA
EIM__GCF_000499605.1__NW_013566514.1__9333-9778__len123	XM_081900151.1	100.000	18	0	0	33	50	682	665	3.59e-04	36.2	XM_081900151.1 Podarcis melisellensis telomerase RNA component interacting RNase (TRIR), transcript variant 1, mRNA
EIM__GCF_000499605.1__NW_013566514.1__9333-9778__len123	XM_079965236.1	100.000	18	0	0	33	50	682	665	3.59e-04	36.2	XM_079965236.1 Podarcis cretensis telomerase RNA component interacting RNase (TRIR), mRNA
EIM__GCF_000499605.1__NW_013566514.1__9333-9778__len123	XM_077924406.1	100.000	18	0	0	33	50	744	727	3.59e-04	36.2	XM_077924406.1 PREDICTED: Podarcis muralis telomerase RNA component interacting RNase (TRIR), transcript variant X2, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080488001.1	100.000	17	0	0	4	20	177	161	3.58e-04	34.2	XM_080488001.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 4, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080488000.1	100.000	17	0	0	4	20	350	334	3.58e-04	34.2	XM_080488000.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 3, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080487999.1	100.000	17	0	0	4	20	210	194	3.58e-04	34.2	XM_080487999.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 2, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080487998.1	100.000	17	0	0	4	20	261	245	3.58e-04	34.2	XM_080487998.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 1, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080488001.1	100.000	17	0	0	4	20	177	161	3.58e-04	34.2	XM_080488001.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 4, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080488000.1	100.000	17	0	0	4	20	350	334	3.58e-04	34.2	XM_080488000.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 3, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080487999.1	100.000	17	0	0	4	20	210	194	3.58e-04	34.2	XM_080487999.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 2, mRNA
TARA__TARA_PSW_86_MAG_00284__TARA_PSW_86_MAG_00284_000000009861__111-294__len39	XM_080487998.1	100.000	17	0	0	4	20	261	245	3.58e-04	34.2	XM_080487998.1 Lipophrys pholis telomerase RNA component interacting RNase (trir), transcript variant 1, mRNA
